,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
108518,proton,All_or_Total,9000,All_or_Total,Other,Lab,11900000.0,790000.0,0.059,0.01,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108519,proton,All_or_Total,9000,All_or_Total,Other,Lab,14000000.0,690000.0,0.097,0.018,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108520,proton,All_or_Total,9000,All_or_Total,Other,Lab,16200000.0,690000.0,0.117,0.013,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108521,proton,All_or_Total,9000,All_or_Total,Other,Lab,18200000.0,580000.0,0.125,0.013,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108522,proton,All_or_Total,9000,All_or_Total,Other,Lab,20100000.0,520000.0,0.145,0.015,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108523,proton,All_or_Total,9000,All_or_Total,Other,Lab,22000000.0,520000.0,0.207,0.015,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108524,proton,All_or_Total,9000,All_or_Total,Other,Lab,22000000.0,780000.0,0.189,0.021,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108525,proton,All_or_Total,9000,All_or_Total,Other,Lab,24100000.0,750000.0,0.213,0.023,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108526,proton,All_or_Total,9000,All_or_Total,Other,Lab,26000000.0,720000.0,0.218,0.024,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108527,proton,All_or_Total,9000,All_or_Total,Other,Lab,27700000.0,680000.0,0.196,0.025,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108528,proton,All_or_Total,9000,All_or_Total,Other,Lab,29900000.0,620000.0,0.211,0.034,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108529,proton,All_or_Total,9000,All_or_Total,Other,Lab,31800000.0,570000.0,0.328,0.033,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108530,proton,All_or_Total,9000,All_or_Total,Other,Lab,33900000.0,860000.0,0.413,0.041,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108531,proton,All_or_Total,9000,All_or_Total,Other,Lab,34000000.0,500000.0,0.408,0.045,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108532,proton,All_or_Total,9000,All_or_Total,Other,Lab,35900000.0,760000.0,0.517,0.057,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108533,proton,All_or_Total,9000,All_or_Total,Other,Lab,40000000.0,580000.0,0.643,0.051,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108534,proton,All_or_Total,9000,All_or_Total,Other,Lab,42100000.0,520000.0,0.628,0.063,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108535,proton,All_or_Total,9000,All_or_Total,Other,Lab,44200000.0,450000.0,0.559,0.061,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,2,No Pointer,56,"56-BA-0(P,X)57-LA-135,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278002,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
108536,proton,All_or_Total,9000,M,Other,Lab,11900000.0,790000.0,0.000469,5.6e-05,0.0,0.0,Other,"K.Prescher,ET.AL. (91)   ",O0278,5,No Pointer,56,"56-BA-0(P,X)56-BA-135-M,,SIG",Thin-target cross-sections of proton-induced reactions on  barium  and  solar  cosmic  ray production rates of xenon-isotopes in lunar surface materials.,1991,K.Prescher+,2GERKLN,1997/01/06,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.53, p.105, 1991",O0278005,O0278,"(J,NIM/B,53,105,1991)",1,1,0,137Ba,Ba,81,137,N,6.443920919344714,0.1241480164038624,Other,-87991.43650000001,0.3155,8392.6235,0.002,-1161.5025,2.4115,137327000.0,0.338,15765.36,0.08,16148.225,2.025,-2531.655,1.37,-1246.685,2.625,-10874.125,0.32,-9473.67,27.4,7758.674999999999,0.055,8838.255000000001,1.02,-7190.0,11.675,9679.54,1.4500000000000002,4109.015,0.675,4924.45,2.02,-8838.255000000001,-7758.674999999999,-16391.5539,-14166.9879,-15704.8499,-15653.1694,-16148.225,-15765.36,-2531.655,-1943.849,-8838.255000000001,-7758.674999999999,-5534.109,-10256.0165,-7283.5651,-8673.513500000001,-10091.7785,-8838.255000000001,-6613.689,-7758.674999999999,-7909.758900000002,-8430.1846,-1501.4459999999997,-3344.7806,-1180.0945000000002,12818.9444,10975.6099
