,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
118367,proton,All_or_Total,3,All_or_Total,Other,Lab,99300000.0,1798798.1983864126,1.733,0.048524,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,35,No Pointer,74,"74-W-0(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Jour. of Nuclear Science and Technology Suppl. Vol.2, Issue.1, p.269, 2002",O0340035,O0340,"(J,NSTS,2,(1),269,2002)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118368,proton,All_or_Total,3,All_or_Total,Preliminary,Lab,533600000.0,9666049.53332316,1.61,0.051,0.0,0.0,Other,"F.S.Dietrich,ET.AL. (02) ",C1232,6,No Pointer,74,"74-W-0(P,NON),,SIG",Proton reaction cross sections measured in the BNL/AGS E943 experiment.,2002,F.S.Dietrich+,1USALRL,2009/10/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C1232006,C1232,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118369,proton,All_or_Total,3,All_or_Total,Preliminary,Lab,796000000.0,14419369.243862884,1.7,0.0547,0.0,0.0,Other,"F.S.Dietrich,ET.AL. (02) ",C1232,6,No Pointer,74,"74-W-0(P,NON),,SIG",Proton reaction cross sections measured in the BNL/AGS E943 experiment.,2002,F.S.Dietrich+,1USALRL,2009/10/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C1232006,C1232,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118370,proton,All_or_Total,3,All_or_Total,Preliminary,Lab,1086000000.0,19672657.033712428,1.77,0.0583,0.0,0.0,Other,"F.S.Dietrich,ET.AL. (02) ",C1232,6,No Pointer,74,"74-W-0(P,NON),,SIG",Proton reaction cross sections measured in the BNL/AGS E943 experiment.,2002,F.S.Dietrich+,1USALRL,2009/10/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C1232006,C1232,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118371,proton,All_or_Total,3,All_or_Total,Preliminary,Lab,1367000000.0,24762911.75422181,1.72,0.0474,0.0,0.0,Other,"F.S.Dietrich,ET.AL. (02) ",C1232,6,No Pointer,74,"74-W-0(P,NON),,SIG",Proton reaction cross sections measured in the BNL/AGS E943 experiment.,2002,F.S.Dietrich+,1USALRL,2009/10/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C1232006,C1232,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118372,proton,All_or_Total,3,All_or_Total,Preliminary,Lab,1645000000.0,29798822.11828448,1.77,0.0565,0.0,0.0,Other,"F.S.Dietrich,ET.AL. (02) ",C1232,6,No Pointer,74,"74-W-0(P,NON),,SIG",Proton reaction cross sections measured in the BNL/AGS E943 experiment.,2002,F.S.Dietrich+,1USALRL,2009/10/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C1232006,C1232,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118373,proton,All_or_Total,3,All_or_Total,Preliminary,Lab,2646000000.0,47931722.38600653,1.71,0.0474,0.0,0.0,Other,"F.S.Dietrich,ET.AL. (02) ",C1232,6,No Pointer,74,"74-W-0(P,NON),,SIG",Proton reaction cross sections measured in the BNL/AGS E943 experiment.,2002,F.S.Dietrich+,1USALRL,2009/10/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C1232006,C1232,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118374,proton,All_or_Total,3,All_or_Total,Preliminary,Lab,3533000000.0,63999537.108753234,1.72,0.051,0.0,0.0,Other,"F.S.Dietrich,ET.AL. (02) ",C1232,6,No Pointer,74,"74-W-0(P,NON),,SIG",Proton reaction cross sections measured in the BNL/AGS E943 experiment.,2002,F.S.Dietrich+,1USALRL,2009/10/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C1232006,C1232,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118375,proton,All_or_Total,4,All_or_Total,Other,Lab,8400000.0,206263.7863552508,0.098,0.0098492475698207,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,8,No Pointer,74,"74-W-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C0696008,C0696,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118376,proton,All_or_Total,4,All_or_Total,Other,Lab,9800000.0,240641.0840811259,0.194,0.0194974900871962,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,8,No Pointer,74,"74-W-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C0696008,C0696,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118377,proton,All_or_Total,4,All_or_Total,Other,Lab,10900000.0,267651.8180085992,0.192,0.0192964850347508,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,8,No Pointer,74,"74-W-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C0696008,C0696,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118378,proton,All_or_Total,4,All_or_Total,Other,Lab,11400000.0,279929.42433926894,0.164,0.0164824143005163,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,8,No Pointer,74,"74-W-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C0696008,C0696,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118379,proton,All_or_Total,4,All_or_Total,Other,Lab,12000000.0,294662.55193607253,0.148,0.0148743738809538,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,8,No Pointer,74,"74-W-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C0696008,C0696,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118380,proton,All_or_Total,4,All_or_Total,Other,Lab,12900000.0,316762.243331278,0.035,0.0035175884177931,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,8,No Pointer,74,"74-W-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C0696008,C0696,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118381,proton,All_or_Total,4,All_or_Total,Other,Lab,13500000.0,331495.3709280816,0.015,0.0015075378933399,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,8,No Pointer,74,"74-W-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",C0696008,C0696,"(J,NP/A,106,323,1968)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118382,proton,All_or_Total,16,All_or_Total,Other,Lab,8400000.0,196866.88222494308,0.013,0.0016858440485931,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,9,No Pointer,74,"74-W-0(P,2N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1095, 2007",C0696009,C0696,"(C,2007NICE,2,1095,2007)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118383,proton,All_or_Total,16,All_or_Total,Other,Lab,9800000.0,229678.0292624336,0.048,0.0062246549486515,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,9,No Pointer,74,"74-W-0(P,2N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1095, 2007",C0696009,C0696,"(C,2007NICE,2,1095,2007)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118384,proton,All_or_Total,16,All_or_Total,Other,Lab,10900000.0,255458.21622046185,0.21,0.0272328654003503,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,9,No Pointer,74,"74-W-0(P,2N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1095, 2007",C0696009,C0696,"(C,2007NICE,2,1095,2007)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118385,proton,All_or_Total,16,All_or_Total,Other,Lab,11400000.0,267176.48301956564,0.261,0.0338465612832926,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,9,No Pointer,74,"74-W-0(P,2N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1095, 2007",C0696009,C0696,"(C,2007NICE,2,1095,2007)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
118386,proton,All_or_Total,16,All_or_Total,Other,Lab,12000000.0,281238.4031784901,0.4,0.0518721245720959,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,9,No Pointer,74,"74-W-0(P,2N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1095, 2007",C0696009,C0696,"(C,2007NICE,2,1095,2007)",1,1,0,184W,W,110,184,N,7.109667449628913,0.112522843813427,Other,-44546.583,0.732,7998.991999999998,0.004,-527.2525,2.4295,183840000.0,0.7855,13383.4,0.14,14458.375,18.115,1619.59,1.57,-1017.375,0.67,-9444.47,34.865,-7603.295,6.1,6582.424999999999,0.09,7769.47,13.705,-7535.389999999999,20.72,12025.59,1.41,7751.594999999999,1.4,7825.99,3.885,-7769.47,-6582.424999999999,-14045.5039,-11820.9379,-12062.2699,-12751.629400000002,-14458.375,-13383.4,1619.59,-1309.5990000000002,-7769.47,-6582.424999999999,-4357.859,-8385.6415,-4901.6051,-6327.463500000002,-8662.1235,-7769.47,-5544.904,-6582.424999999999,-5563.708900000001,-6740.3346,-325.1959999999996,-2275.9956,-545.8444999999999,13995.1944,12044.3949
