,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
100492,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,22900000.0,100000.0,1.583,0.055,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (95)  ",C0424,8,No Pointer,50,"50-SN-124(P,NON),,SIG","Measurements of Proton total reaction cross sections for 112,114,116,118,120,122,124Sn from 22 to 48 MeV",1995,R.F.Carlson+,1CANMNA,1999/02/03,"Jour. Nuclear Physics, Section A Vol.653, p.341, 1999",C0424008,C0424,"(J,NP/A,653,341,1999)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100493,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,25200000.0,100000.0,1.595,0.038,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (95)  ",C0424,8,No Pointer,50,"50-SN-124(P,NON),,SIG","Measurements of Proton total reaction cross sections for 112,114,116,118,120,122,124Sn from 22 to 48 MeV",1995,R.F.Carlson+,1CANMNA,1999/02/03,"Jour. Nuclear Physics, Section A Vol.653, p.341, 1999",C0424008,C0424,"(J,NP/A,653,341,1999)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100494,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,30200000.0,100000.0,1.712,0.042,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (95)  ",C0424,8,No Pointer,50,"50-SN-124(P,NON),,SIG","Measurements of Proton total reaction cross sections for 112,114,116,118,120,122,124Sn from 22 to 48 MeV",1995,R.F.Carlson+,1CANMNA,1999/02/03,"Jour. Nuclear Physics, Section A Vol.653, p.341, 1999",C0424008,C0424,"(J,NP/A,653,341,1999)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100495,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,35000000.0,100000.0,1.669,0.036,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (95)  ",C0424,8,No Pointer,50,"50-SN-124(P,NON),,SIG","Measurements of Proton total reaction cross sections for 112,114,116,118,120,122,124Sn from 22 to 48 MeV",1995,R.F.Carlson+,1CANMNA,1999/02/03,"Jour. Nuclear Physics, Section A Vol.653, p.341, 1999",C0424008,C0424,"(J,NP/A,653,341,1999)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100496,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,39700000.0,100000.0,1.636,0.058,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (95)  ",C0424,8,No Pointer,50,"50-SN-124(P,NON),,SIG","Measurements of Proton total reaction cross sections for 112,114,116,118,120,122,124Sn from 22 to 48 MeV",1995,R.F.Carlson+,1CANMNA,1999/02/03,"Jour. Nuclear Physics, Section A Vol.653, p.341, 1999",C0424008,C0424,"(J,NP/A,653,341,1999)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100497,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,45200000.0,100000.0,1.683,0.028,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (95)  ",C0424,8,No Pointer,50,"50-SN-124(P,NON),,SIG","Measurements of Proton total reaction cross sections for 112,114,116,118,120,122,124Sn from 22 to 48 MeV",1995,R.F.Carlson+,1CANMNA,1999/02/03,"Jour. Nuclear Physics, Section A Vol.653, p.341, 1999",C0424008,C0424,"(J,NP/A,653,341,1999)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100498,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,47900000.0,100000.0,1.662,0.031,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (95)  ",C0424,8,No Pointer,50,"50-SN-124(P,NON),,SIG","Measurements of Proton total reaction cross sections for 112,114,116,118,120,122,124Sn from 22 to 48 MeV",1995,R.F.Carlson+,1CANMNA,1999/02/03,"Jour. Nuclear Physics, Section A Vol.653, p.341, 1999",C0424008,C0424,"(J,NP/A,653,341,1999)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100499,proton,All_or_Total,3,All_or_Total,Other,Lab,65500000.0,150000.0,1.6233,0.055,0.0,0.0,Other,"A.INGEMARSSON,ET.AL. (99)",O0579,13,No Pointer,50,"50-SN-124(P,NON),,SIG",Reaction Cross Sections For 65 MeV Protons on Targets From Be-9 to Pb-208.,1999,A.Ingemarsson+,2SWDUPP,1999/11/03,"Jour. Physical Review, Part C, Nuclear Physics Vol.15, p.196, 1977",O0579013,O0579,"(J,PR/C,15,196,197701)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100500,proton,All_or_Total,4,All_or_Total,Other,Lab,2609000.0,64064.54983343444,1.3e-05,1.3e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100501,proton,All_or_Total,4,All_or_Total,Other,Lab,2948000.0,72388.76692562849,7e-05,2.8e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100502,proton,All_or_Total,4,All_or_Total,Other,Lab,3064000.0,75237.17159434386,0.000115,2.875e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100503,proton,All_or_Total,4,All_or_Total,Other,Lab,3183000.0,78159.24190104325,0.001187,2.2553e-05,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100504,proton,All_or_Total,4,All_or_Total,Other,Lab,3304000.0,81130.4226330653,0.000294,4.704e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100505,proton,All_or_Total,4,All_or_Total,Other,Lab,3427000.0,84150.71379041005,0.000451,5.412e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100506,proton,All_or_Total,4,All_or_Total,Other,Lab,3552000.0,87220.11537307747,0.000689,6.89e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100507,proton,All_or_Total,4,All_or_Total,Other,Lab,3679000.0,90338.62738106758,0.001029,8.232e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100508,proton,All_or_Total,4,All_or_Total,Other,Lab,3808000.0,93506.24981438035,0.001499,9.2938e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100509,proton,All_or_Total,4,All_or_Total,Other,Lab,3939000.0,96722.9826730158,0.002148,1.117e-05,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100510,proton,All_or_Total,4,All_or_Total,Other,Lab,4072000.0,99988.82595697396,0.003046,1.2489e-05,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
100511,proton,All_or_Total,4,All_or_Total,Other,Lab,4207000.0,103303.77966625476,0.004272,1.5379e-05,0.0,0.0,Other,"C.H.Johnson,ET.AL. (77)  ",T0132,7,No Pointer,50,"50-SN-124(P,N)51-SB-124,,SIG","p-wave resonances observed by the (p,n) reaction for 2.6- to 7-MeV protons incident on isotopes of Sn",1977,C.H.Johnson+,1USAORL,2012/03/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.2, p.639, 1970",T0132007,T0132,"(J,PR/C,2,639,1970)",1,1,0,124Sn,Sn,74,124,I,6.2332886902983065,0.1283431651810297,Other,-88234.19300000001,1.014,8467.421,0.008,-613.944,1.513,123905276.692,1.088,14435.49,2.39,22199.76,2.51,-6701.75,3.86,2291.13,1.51,-18108.98,2.88,-7081.44,1.51,8489.33,2.39,12092.81,19.83,-572.77,2.01,6049.35,50.06,2465.84,27.41,-1513.97,2.19,-12092.81,-8489.33,-20021.7439,-17797.177900000002,-17348.0249,-22091.5894,-22199.76,-14435.49,-6701.75,-1396.2905,-12092.81,-8489.33,-6264.764,-7863.786499999998,-5953.695099999999,-12303.7035,-17326.6335,-12092.81,-9868.244,-8489.33,-11539.9489,-14481.7196,-2232.101,-6599.335599999999,-632.536,12088.2894,7721.054900000001
