,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
114266,proton,All_or_Total,9000,All_or_Total,Other,Lab,4690000.0,1200000.0,0.0001,5e-05,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114267,proton,All_or_Total,9000,All_or_Total,Other,Lab,4710000.0,1200000.0,0.0015,0.0002,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114268,proton,All_or_Total,9000,All_or_Total,Other,Lab,6070000.0,1100000.0,0.0048,0.0006,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114269,proton,All_or_Total,9000,All_or_Total,Other,Lab,6080000.0,1100000.0,0.0011,0.0001,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114270,proton,All_or_Total,9000,All_or_Total,Other,Lab,7260000.0,1100000.0,0.017,0.002,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114271,proton,All_or_Total,9000,All_or_Total,Other,Lab,7280000.0,1000000.0,0.009,0.001,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114272,proton,All_or_Total,9000,All_or_Total,Other,Lab,8300000.0,1000000.0,0.027,0.003,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114273,proton,All_or_Total,9000,All_or_Total,Other,Lab,8400000.0,1000000.0,0.029,0.003,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114274,proton,All_or_Total,9000,All_or_Total,Other,Lab,9300000.0,1000000.0,0.049,0.005,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114275,proton,All_or_Total,9000,All_or_Total,Other,Lab,9400000.0,900000.0,0.051,0.005,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114276,proton,All_or_Total,9000,All_or_Total,Other,Lab,10200000.0,900000.0,0.056,0.006,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114277,proton,All_or_Total,9000,All_or_Total,Other,Lab,10400000.0,800000.0,0.058,0.006,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114278,proton,All_or_Total,9000,All_or_Total,Other,Lab,11100000.0,800000.0,0.055,0.006,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114279,proton,All_or_Total,9000,All_or_Total,Other,Lab,11300000.0,700000.0,0.057,0.006,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114280,proton,All_or_Total,9000,All_or_Total,Other,Lab,11900000.0,700000.0,0.045,0.005,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114281,proton,All_or_Total,9000,All_or_Total,Other,Lab,12100000.0,600000.0,0.046,0.005,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114282,proton,All_or_Total,9000,All_or_Total,Other,Lab,12700000.0,600000.0,0.035,0.004,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114283,proton,All_or_Total,9000,All_or_Total,Other,Lab,12900000.0,500000.0,0.031,0.003,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114284,proton,All_or_Total,9000,All_or_Total,Other,Lab,13400000.0,500000.0,0.024,0.002,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
114285,proton,All_or_Total,9000,All_or_Total,Other,Lab,13600000.0,400000.0,0.024,0.002,0.0,0.0,Other,"A.Hermanne,ET.AL. (11)   ",D4243,4,No Pointer,68,"68-ER-0(P,X)69-TM-168,,SIG","Cross sections for production of longer lived 170,168,167Tm in 16 MeV proton irradiation of natEr",2011,A.Hermanne+,2BLGVUB,2011/06/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.269, p.695, 2011",D4243004,D4243,"(J,NIM/B,269,695,2011)",1,1,0,167Er,Er,99,167,N,6.883598057984191,0.1162182906760645,Other,-64108.611,1.1655,8136.8525,0.0069999999999999,-1892.603,6.524,167259000.0,1.2515,15018.995,1.215,13896.27,1.125,747.7950000000001,1.12,-3015.45,5.52,-8298.885,1.155,-9770.93,6.83,7456.105,0.735,7412.415,0.925,-10445.24,27.97,11542.45,1.2,6435.365,1.3,7712.360000000001,1.12,-7412.415,-7456.105,-14528.6439,-12304.0779,-13378.4999,-12865.2594,-13896.27,-15018.995,747.7950000000001,-2674.9495,-7412.415,-7456.105,-5231.539000000001,-10553.2765,-6537.2001,-6810.603500000002,-7516.538500000001,-7412.415,-5187.849,-7456.105,-6046.848900000001,-6178.2296000000015,-1198.876,-1918.9406,-1911.195,13121.5144,12401.4499
