,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
66581,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1740000.0,42726.07003073052,2.1e-05,2.110553050675879e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
66582,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1747000.0,42897.9565193599,2.3e-05,2.311558103121201e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
66583,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1756000.0,43118.95343331195,2.5e-05,2.5125631555665225e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
66584,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1764000.0,43315.395134602666,3e-05,3.015075786679827e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
66585,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1770000.0,43462.7264105707,3.2e-05,3.2160808391251488e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
66586,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1776000.0,43610.057686538734,3.3e-05,3.3165833653478098e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
66587,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1785000.0,43831.05460049079,3.2e-05,3.2160808391251488e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
66588,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1793000.0,44027.49630178151,3.6e-05,3.618090944015792e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
66589,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1799000.0,44174.82757774954,4.5e-05,4.52261368001974e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
66590,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1807000.0,44371.26927904026,4.6e-05,4.623116206242402e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,10,No Pointer,33,"33-AS-75(P,N)34-SE-75,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122010,T0122,"(J,PR,136,B1719,196412)",1,1,0,75As,As,42,75,I,5.271454158135932,0.151760780991576,Other,-73034.195,0.884,8700.874,0.012,-864.7139999999998,0.882,74921594.56199999,0.948,18224.08,3.95,17912.8,1.9,-5319.98,1.2,-3927.19,4.38,-12273.55,3.12,-8892.31,0.88,10245.46,1.91,6900.72,0.88,-15815.5,1.47,8974.13,0.89,4415.76,0.89,1200.5,1.2,-6900.72,-10245.46,-17096.963900000002,-14872.397900000002,-15398.1049,-19377.1194,-17912.8,-18224.08,-5319.98,-1647.0605,-6900.72,-10245.46,-8020.893999999998,-9674.6565,-9742.2851,-9378.923500000004,-11491.2035,-6900.72,-4676.154,-10245.46,-8615.168900000002,-10194.7596,-3988.230999999999,-1407.2456000000002,-883.3059999999998,10332.1594,12913.1449
