,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
24880,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,20800000.0,150000.0,1.034,0.025,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (94)  ",C0462,3,No Pointer,20,"20-CA-44(P,NON),,SIG","Proton total reaction cross sections for 42Ca, 44Ca, and 48Ca between 21 and 48 MeV.",1994,R.F.Carlson+,1USARDL,1999/02/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.19, p.905, 1979",C0462003,C0462,"(J,PR/C,19,905,1979)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24881,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,24800000.0,150000.0,1.028,0.028,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (94)  ",C0462,3,No Pointer,20,"20-CA-44(P,NON),,SIG","Proton total reaction cross sections for 42Ca, 44Ca, and 48Ca between 21 and 48 MeV.",1994,R.F.Carlson+,1USARDL,1999/02/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.19, p.905, 1979",C0462003,C0462,"(J,PR/C,19,905,1979)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24882,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,29700000.0,150000.0,1.002,0.025,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (94)  ",C0462,3,No Pointer,20,"20-CA-44(P,NON),,SIG","Proton total reaction cross sections for 42Ca, 44Ca, and 48Ca between 21 and 48 MeV.",1994,R.F.Carlson+,1USARDL,1999/02/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.19, p.905, 1979",C0462003,C0462,"(J,PR/C,19,905,1979)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24883,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,34800000.0,150000.0,0.951,0.021,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (94)  ",C0462,3,No Pointer,20,"20-CA-44(P,NON),,SIG","Proton total reaction cross sections for 42Ca, 44Ca, and 48Ca between 21 and 48 MeV.",1994,R.F.Carlson+,1USARDL,1999/02/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.19, p.905, 1979",C0462003,C0462,"(J,PR/C,19,905,1979)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24884,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,39700000.0,150000.0,0.933,0.02,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (94)  ",C0462,3,No Pointer,20,"20-CA-44(P,NON),,SIG","Proton total reaction cross sections for 42Ca, 44Ca, and 48Ca between 21 and 48 MeV.",1994,R.F.Carlson+,1USARDL,1999/02/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.19, p.905, 1979",C0462003,C0462,"(J,PR/C,19,905,1979)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24885,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,44900000.0,150000.0,0.877,0.022,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (94)  ",C0462,3,No Pointer,20,"20-CA-44(P,NON),,SIG","Proton total reaction cross sections for 42Ca, 44Ca, and 48Ca between 21 and 48 MeV.",1994,R.F.Carlson+,1USARDL,1999/02/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.19, p.905, 1979",C0462003,C0462,"(J,PR/C,19,905,1979)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24886,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,47800000.0,150000.0,0.876,0.023,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (94)  ",C0462,3,No Pointer,20,"20-CA-44(P,NON),,SIG","Proton total reaction cross sections for 42Ca, 44Ca, and 48Ca between 21 and 48 MeV.",1994,R.F.Carlson+,1USARDL,1999/02/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.19, p.905, 1979",C0462003,C0462,"(J,PR/C,19,905,1979)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24887,proton,All_or_Total,3,All_or_Total,Other,Lab,700000000.0,7000000.0,0.643,0.039866,0.0,0.0,Other,"B.D.Anderson,ET.AL. (79) ",C1863,3,No Pointer,20,"20-CA-44(P,NON),,SIG","Proton total reaction cross section measurements for 40,44,48Ca at 700 MeV",1979,B.D.Anderson+,1USAKNT,2011/10/01,"Jour. Radiochimica Acta Vol.101, p.333, 2013",C1863003,C1863,"(J,RCA,101,333,2013)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24888,proton,All_or_Total,4,All_or_Total,Other,Lab,5530000.0,135790.32601720677,0.00842,0.0008462312707948,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,2,No Pointer,20,"20-CA-44(P,N)21-SC-44,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Radiochimica Acta Vol.101, p.333, 2013",O2136002,O2136,"(J,RCA,101,333,2013)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24889,proton,All_or_Total,4,All_or_Total,Other,Lab,7280000.0,178761.9481745507,0.14453,0.0145256301149611,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,2,No Pointer,20,"20-CA-44(P,N)21-SC-44,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Radiochimica Acta Vol.101, p.333, 2013",O2136002,O2136,"(J,RCA,101,333,2013)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24890,proton,All_or_Total,4,All_or_Total,Other,Lab,7860000.0,193003.9715181275,0.27733,0.0278723655973305,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,2,No Pointer,20,"20-CA-44(P,N)21-SC-44,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Radiochimica Acta Vol.101, p.333, 2013",O2136002,O2136,"(J,RCA,101,333,2013)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24891,proton,All_or_Total,4,All_or_Total,Other,Lab,8840000.0,217068.0799262401,0.69548,0.0698974969373362,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,2,No Pointer,20,"20-CA-44(P,N)21-SC-44,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Radiochimica Acta Vol.101, p.333, 2013",O2136002,O2136,"(J,RCA,101,333,2013)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24892,proton,All_or_Total,4,All_or_Total,Other,Lab,9830000.0,241377.7404609661,0.56427,0.0567105604716608,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,2,No Pointer,20,"20-CA-44(P,N)21-SC-44,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Radiochimica Acta Vol.101, p.333, 2013",O2136002,O2136,"(J,RCA,101,333,2013)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24893,proton,All_or_Total,4,All_or_Total,Other,Lab,10630000.0,261021.9105900376,0.72814,0.0731799094437683,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,2,No Pointer,20,"20-CA-44(P,N)21-SC-44,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Radiochimica Acta Vol.101, p.333, 2013",O2136002,O2136,"(J,RCA,101,333,2013)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24894,proton,All_or_Total,4,All_or_Total,Other,Lab,13140000.0,322655.49436999945,0.63363,0.0636814156904646,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,2,No Pointer,20,"20-CA-44(P,N)21-SC-44,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Radiochimica Acta Vol.101, p.333, 2013",O2136002,O2136,"(J,RCA,101,333,2013)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24895,proton,All_or_Total,4,All_or_Total,Other,Lab,17480000.0,429225.1173202124,0.41351,0.0415587996183325,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,2,No Pointer,20,"20-CA-44(P,N)21-SC-44,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Radiochimica Acta Vol.101, p.333, 2013",O2136002,O2136,"(J,RCA,101,333,2013)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24896,proton,All_or_Total,4,M,Other,Lab,5560000.0,136526.98239704696,0.00018,1.809045472007896e-05,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,3,No Pointer,20,"20-CA-44(P,N)21-SC-44-M,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.33, p.2783, 1971",O2136003,O2136,"(J,JIN,33,2783,1971)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24897,proton,All_or_Total,4,M,Other,Lab,7310000.0,179498.60455439083,0.00158,0.0001587939914318,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,3,No Pointer,20,"20-CA-44(P,N)21-SC-44-M,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.33, p.2783, 1971",O2136003,O2136,"(J,JIN,33,2783,1971)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24898,proton,All_or_Total,4,M,Other,Lab,7870000.0,193249.52364474093,0.00391,0.0003929648775306,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,3,No Pointer,20,"20-CA-44(P,N)21-SC-44-M,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.33, p.2783, 1971",O2136003,O2136,"(J,JIN,33,2783,1971)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24899,proton,All_or_Total,4,M,Other,Lab,8890000.0,218295.84055930708,0.01191,0.0011969850873118,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,3,No Pointer,20,"20-CA-44(P,N)21-SC-44-M,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.33, p.2783, 1971",O2136003,O2136,"(J,JIN,33,2783,1971)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
24900,proton,All_or_Total,4,M,Other,Lab,9850000.0,241868.84471419288,0.0149,0.0014974876407176,0.0,0.0,Other,"S.Krajewski,ET.AL. (13)  ",O2136,3,No Pointer,20,"20-CA-44(P,N)21-SC-44-M,,SIG",Cyclotron production of 44Sc for clinical application.,2013,S.Krajewski+,3POLPOL,2013/07/06,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.33, p.2783, 1971",O2136003,O2136,"(J,JIN,33,2783,1971)",1,1,0,44Ca,Ca,24,44,I,4.412935419157579,0.1812852271816655,Other,-41468.675,0.325,8658.175,0.0069999999999999,-3652.69,1.757,43955481.54300001,0.348,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.9449,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.2365,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.8996,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
