,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
132338,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.011,0.002,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,300,No Pointer,83,"83-BI-CMP(P,X)32-GE-69,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768300,O0768,"(J,NIM/B,160,73,2000)",1,1,0,209Bi,Bi,126,209,N,7.418090175499926,0.1078444695431443,Other,-16525.3205,1.3635000000000002,7840.264499999998,0.0065,-365.7054999999998,1.165,208980000.0,1.463,13205.53,1.92,12210.97,3.64,4086.885,0.775,-4097.925,6.405,-8616.845000000001,3.995,-7678.789999999999,1.54,6032.195,0.97,4132.665,0.965,-12973.93,14.95,16285.81,0.77,11457.55,0.77,10764.990000000002,3.115,-4132.665,-6032.195,-9785.2839,-7560.7179000000015,-8356.3149,-9812.6294,-12210.97,-13205.53,4086.885,-1148.052,-4132.665,-6032.195,-3807.629000000001,-8461.136499999999,-4723.735099999998,-2067.2435000000014,-7834.498500000001,-4132.665,-1908.0990000000008,-6032.195,-1303.4889000000012,-4492.9296,225.0340000000001,1360.8094,-384.2975000000001,14545.4244,15681.1999
132339,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.00199,6e-05,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,301,No Pointer,83,"83-BI-CMP(P,X)32-GE-67,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768301,O0768,"(J,NIM/B,160,73,2000)",1,1,0,209Bi,Bi,126,209,N,7.418090175499926,0.1078444695431443,Other,-16525.3205,1.3635000000000002,7840.264499999998,0.0065,-365.7054999999998,1.165,208980000.0,1.463,13205.53,1.92,12210.97,3.64,4086.885,0.775,-4097.925,6.405,-8616.845000000001,3.995,-7678.789999999999,1.54,6032.195,0.97,4132.665,0.965,-12973.93,14.95,16285.81,0.77,11457.55,0.77,10764.990000000002,3.115,-4132.665,-6032.195,-9785.2839,-7560.7179000000015,-8356.3149,-9812.6294,-12210.97,-13205.53,4086.885,-1148.052,-4132.665,-6032.195,-3807.629000000001,-8461.136499999999,-4723.735099999998,-2067.2435000000014,-7834.498500000001,-4132.665,-1908.0990000000008,-6032.195,-1303.4889000000012,-4492.9296,225.0340000000001,1360.8094,-384.2975000000001,14545.4244,15681.1999
132340,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.0021,0.0002,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,302,No Pointer,83,"83-BI-CMP(P,X)32-GE-66,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768302,O0768,"(J,NIM/B,160,73,2000)",1,1,0,209Bi,Bi,126,209,N,7.418090175499926,0.1078444695431443,Other,-16525.3205,1.3635000000000002,7840.264499999998,0.0065,-365.7054999999998,1.165,208980000.0,1.463,13205.53,1.92,12210.97,3.64,4086.885,0.775,-4097.925,6.405,-8616.845000000001,3.995,-7678.789999999999,1.54,6032.195,0.97,4132.665,0.965,-12973.93,14.95,16285.81,0.77,11457.55,0.77,10764.990000000002,3.115,-4132.665,-6032.195,-9785.2839,-7560.7179000000015,-8356.3149,-9812.6294,-12210.97,-13205.53,4086.885,-1148.052,-4132.665,-6032.195,-3807.629000000001,-8461.136499999999,-4723.735099999998,-2067.2435000000014,-7834.498500000001,-4132.665,-1908.0990000000008,-6032.195,-1303.4889000000012,-4492.9296,225.0340000000001,1360.8094,-384.2975000000001,14545.4244,15681.1999
132341,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.0075,0.0004,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,303,No Pointer,83,"83-BI-CMP(P,X)31-GA-73,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768303,O0768,"(J,NIM/B,160,73,2000)",1,1,0,209Bi,Bi,126,209,N,7.418090175499926,0.1078444695431443,Other,-16525.3205,1.3635000000000002,7840.264499999998,0.0065,-365.7054999999998,1.165,208980000.0,1.463,13205.53,1.92,12210.97,3.64,4086.885,0.775,-4097.925,6.405,-8616.845000000001,3.995,-7678.789999999999,1.54,6032.195,0.97,4132.665,0.965,-12973.93,14.95,16285.81,0.77,11457.55,0.77,10764.990000000002,3.115,-4132.665,-6032.195,-9785.2839,-7560.7179000000015,-8356.3149,-9812.6294,-12210.97,-13205.53,4086.885,-1148.052,-4132.665,-6032.195,-3807.629000000001,-8461.136499999999,-4723.735099999998,-2067.2435000000014,-7834.498500000001,-4132.665,-1908.0990000000008,-6032.195,-1303.4889000000012,-4492.9296,225.0340000000001,1360.8094,-384.2975000000001,14545.4244,15681.1999
132342,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.0037,0.0008,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,304,No Pointer,83,"83-BI-CMP(P,X)31-GA-72,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768304,O0768,"(J,NIM/B,160,73,2000)",1,1,0,209Bi,Bi,126,209,N,7.418090175499926,0.1078444695431443,Other,-16525.3205,1.3635000000000002,7840.264499999998,0.0065,-365.7054999999998,1.165,208980000.0,1.463,13205.53,1.92,12210.97,3.64,4086.885,0.775,-4097.925,6.405,-8616.845000000001,3.995,-7678.789999999999,1.54,6032.195,0.97,4132.665,0.965,-12973.93,14.95,16285.81,0.77,11457.55,0.77,10764.990000000002,3.115,-4132.665,-6032.195,-9785.2839,-7560.7179000000015,-8356.3149,-9812.6294,-12210.97,-13205.53,4086.885,-1148.052,-4132.665,-6032.195,-3807.629000000001,-8461.136499999999,-4723.735099999998,-2067.2435000000014,-7834.498500000001,-4132.665,-1908.0990000000008,-6032.195,-1303.4889000000012,-4492.9296,225.0340000000001,1360.8094,-384.2975000000001,14545.4244,15681.1999
132343,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.0028,0.0007,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,305,No Pointer,83,"83-BI-CMP(P,X)31-GA-67,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768305,O0768,"(J,NIM/B,160,73,2000)",1,1,0,209Bi,Bi,126,209,N,7.418090175499926,0.1078444695431443,Other,-16525.3205,1.3635000000000002,7840.264499999998,0.0065,-365.7054999999998,1.165,208980000.0,1.463,13205.53,1.92,12210.97,3.64,4086.885,0.775,-4097.925,6.405,-8616.845000000001,3.995,-7678.789999999999,1.54,6032.195,0.97,4132.665,0.965,-12973.93,14.95,16285.81,0.77,11457.55,0.77,10764.990000000002,3.115,-4132.665,-6032.195,-9785.2839,-7560.7179000000015,-8356.3149,-9812.6294,-12210.97,-13205.53,4086.885,-1148.052,-4132.665,-6032.195,-3807.629000000001,-8461.136499999999,-4723.735099999998,-2067.2435000000014,-7834.498500000001,-4132.665,-1908.0990000000008,-6032.195,-1303.4889000000012,-4492.9296,225.0340000000001,1360.8094,-384.2975000000001,14545.4244,15681.1999
132344,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.0025,0.0009,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,306,No Pointer,83,"83-BI-CMP(P,X)31-GA-66,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768306,O0768,"(J,NIM/B,160,73,2000)",1,1,0,209Bi,Bi,126,209,N,7.418090175499926,0.1078444695431443,Other,-16525.3205,1.3635000000000002,7840.264499999998,0.0065,-365.7054999999998,1.165,208980000.0,1.463,13205.53,1.92,12210.97,3.64,4086.885,0.775,-4097.925,6.405,-8616.845000000001,3.995,-7678.789999999999,1.54,6032.195,0.97,4132.665,0.965,-12973.93,14.95,16285.81,0.77,11457.55,0.77,10764.990000000002,3.115,-4132.665,-6032.195,-9785.2839,-7560.7179000000015,-8356.3149,-9812.6294,-12210.97,-13205.53,4086.885,-1148.052,-4132.665,-6032.195,-3807.629000000001,-8461.136499999999,-4723.735099999998,-2067.2435000000014,-7834.498500000001,-4132.665,-1908.0990000000008,-6032.195,-1303.4889000000012,-4492.9296,225.0340000000001,1360.8094,-384.2975000000001,14545.4244,15681.1999
132345,proton,All_or_Total,9000,M,Other,Lab,1200000000.0,30588518.110359076,0.0019,0.0003,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,307,No Pointer,83,"83-BI-CMP(P,X)30-ZN-69-M,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768307,O0768,"(J,NIM/B,160,73,2000)",1,1,0,209Bi,Bi,126,209,N,7.418090175499926,0.1078444695431443,Other,-16525.3205,1.3635000000000002,7840.264499999998,0.0065,-365.7054999999998,1.165,208980000.0,1.463,13205.53,1.92,12210.97,3.64,4086.885,0.775,-4097.925,6.405,-8616.845000000001,3.995,-7678.789999999999,1.54,6032.195,0.97,4132.665,0.965,-12973.93,14.95,16285.81,0.77,11457.55,0.77,10764.990000000002,3.115,-4132.665,-6032.195,-9785.2839,-7560.7179000000015,-8356.3149,-9812.6294,-12210.97,-13205.53,4086.885,-1148.052,-4132.665,-6032.195,-3807.629000000001,-8461.136499999999,-4723.735099999998,-2067.2435000000014,-7834.498500000001,-4132.665,-1908.0990000000008,-6032.195,-1303.4889000000012,-4492.9296,225.0340000000001,1360.8094,-384.2975000000001,14545.4244,15681.1999
132346,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.0015,0.0004,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,308,No Pointer,83,"83-BI-CMP(P,X)29-CU-60,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.45, p.852, 1963",O0768308,O0768,"(J,ZET,45,852,1963)",1,1,0,209Bi,Bi,126,209,N,7.418090175499926,0.1078444695431443,Other,-16525.3205,1.3635000000000002,7840.264499999998,0.0065,-365.7054999999998,1.165,208980000.0,1.463,13205.53,1.92,12210.97,3.64,4086.885,0.775,-4097.925,6.405,-8616.845000000001,3.995,-7678.789999999999,1.54,6032.195,0.97,4132.665,0.965,-12973.93,14.95,16285.81,0.77,11457.55,0.77,10764.990000000002,3.115,-4132.665,-6032.195,-9785.2839,-7560.7179000000015,-8356.3149,-9812.6294,-12210.97,-13205.53,4086.885,-1148.052,-4132.665,-6032.195,-3807.629000000001,-8461.136499999999,-4723.735099999998,-2067.2435000000014,-7834.498500000001,-4132.665,-1908.0990000000008,-6032.195,-1303.4889000000012,-4492.9296,225.0340000000001,1360.8094,-384.2975000000001,14545.4244,15681.1999
132350,proton,All_or_Total,4,All_or_Total,Other,Lab,7750000.0,190302.8981253802,0.0149,0.0014974876407176,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132351,proton,All_or_Total,4,All_or_Total,Other,Lab,9130000.0,224189.0915980285,0.0437,0.0043919603959302,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132352,proton,All_or_Total,4,All_or_Total,Other,Lab,9540000.0,234256.7287891777,0.0681,0.0068442220357632,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132353,proton,All_or_Total,4,All_or_Total,Other,Lab,9680000.0,237694.4585617652,0.0782,0.007859297550612,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132354,proton,All_or_Total,4,All_or_Total,Other,Lab,9810000.0,240886.6362077393,0.0926,0.0093065339282184,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132355,proton,All_or_Total,4,All_or_Total,Other,Lab,9950000.0,244324.3659803268,0.0985,0.0098994988329321,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132356,proton,All_or_Total,4,All_or_Total,Other,Lab,10200000.0,250463.16914566167,0.118,0.0118592980942739,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132357,proton,All_or_Total,4,All_or_Total,Other,Lab,10400000.0,255374.21167792956,0.13,0.0130653284089459,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132358,proton,All_or_Total,4,All_or_Total,Other,Lab,10800000.0,265196.2967424653,0.151,0.0151758814596217,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132359,proton,All_or_Total,4,All_or_Total,Other,Lab,11500000.0,282384.94560540287,0.0912,0.011,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132360,proton,All_or_Total,4,All_or_Total,Other,Lab,12400000.0,304484.6370006083,0.0898,0.0084,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
132361,proton,All_or_Total,4,All_or_Total,Other,Lab,12600000.0,309395.6795328762,0.077,0.0083,0.0,0.0,Other,"K.MIYANO,ET.AL. (78)     ",B0166,2,No Pointer,83,"83-BI-209(P,N)84-PO-209,,SIG","The (p,n) reaction on Bi-209 and pre-compound process.",1978,K.Miyano+,2JPNNII,2011/06/02,"Jour. Physical Review Vol.128, p.280, 1962",B0166002,B0166,"(J,PR,128,280,1962)",1,1,0,209Bi,Bi,126,209,I,7.418090175499926,0.1078444695431443,Other,-18258.662,1.364,7847.986999999999,0.0069999999999999,-1892.57,1.564,208980398.519,1.464,14346.67,1.98,11802.15,5.45,3137.3,0.77,-5376.05,5.16,-8797.5,1.83,-8860.38,1.52,7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,-3799.03,-7459.76,-11166.9039,-8942.3379,-9422.8849,-10936.5094,-11802.15,-14346.67,3137.3,-2674.9165,-3799.03,-7459.76,-5235.194,-9642.7265,-5864.875099999998,-3448.8635000000013,-8015.1535,-3799.03,-1574.4640000000006,-7459.76,-2685.108900000001,-4084.1096,-1202.531,1694.4444,-1911.162,13117.8594,16014.8349
