,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
48096,proton,All_or_Total,3,All_or_Total,Other,Lab,8800000.0,159410.1122437103,0.622,0.055,0.0,0.0,Other,"P.J.Bulman,ET.AL. (65)   ",D0535,6,No Pointer,28,"28-NI-58(P,NON),,SIG",Proton reaction cross sections at 8.8 MeV,1965,P.J.Bulman+,2UK BIR,2009/06/00,"Jour. Nuclear Physics Vol.73, p.206, 1965",D0535006,D0535,"(J,NP,73,206,1965)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48097,proton,All_or_Total,3,All_or_Total,Other,Lab,9140000.0,360000.0,0.547,0.033,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,7,No Pointer,28,"28-NI-58(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.157, p.1001, 1967",D0314007,D0314,"(J,PR,157,1001,1967)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48098,proton,All_or_Total,3,All_or_Total,Other,Lab,14500000.0,262664.3894924772,0.927,0.027,0.0,0.0,Other,"J.F.Dicello,ET.AL. (67)  ",C1217,7,No Pointer,28,"28-NI-58(P,NON),,SIG","Proton Total Reaction Cross Sections for 22 Isotopes of Ti, Fe, Ni, Cu, Zn, Zr, and Sn at 14.5 MeV",1967,J.F.Dicello+,1USALAS,2005/04/05,"Jour. Physical Review Vol.141, p.1067, 1966",C1217007,C1217,"(J,PR,141,1067,66)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48099,proton,All_or_Total,3,All_or_Total,Dependent,Lab,18600000.0,50000.0,1.04,0.0599800512740084,0.0,0.0,Other,"S.F.ECCLES,ET.AL. (66)   ",O0167,25,No Pointer,28,"28-NI-58(P,ABS),,SIG,,,CALC","Study of the Strongly Excited 2+ and 3- States in The   Fe-54,56   and  Ni-58,60,62  Isotopes  by  Proton Scattering at 18.6 and 19.1 MeV.",1966,S.F.Eccles+,1USALRL,1997/01/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.51, p.1295, 1995",O0167025,O0167,"(J,PR/C,51,1295,199503)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48100,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,22700000.0,100000.0,1.085,0.021,0.0,0.0,Other,"T.ELIYAKUT-ROSHKO, (95)  ",T0113,2,No Pointer,28,"28-NI-58(P,NON),,SIG",Measurements of proton total reaction cross sections for 58Ni and 60Ni including nonrelativistic and relativistic data analyses.,1995,T.Eliyakut-Roshko+,1CANMNA,2000/04/05,"Jour. Nuclear Physics Vol.58, p.509, 1964",T0113002,T0113,"(J,NP,58,509,64)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48101,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,25100000.0,100000.0,1.082,0.022,0.0,0.0,Other,"T.ELIYAKUT-ROSHKO, (95)  ",T0113,2,No Pointer,28,"28-NI-58(P,NON),,SIG",Measurements of proton total reaction cross sections for 58Ni and 60Ni including nonrelativistic and relativistic data analyses.,1995,T.Eliyakut-Roshko+,1CANMNA,2000/04/05,"Jour. Nuclear Physics Vol.58, p.509, 1964",T0113002,T0113,"(J,NP,58,509,64)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48102,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,30100000.0,100000.0,1.058,0.016,0.0,0.0,Other,"T.ELIYAKUT-ROSHKO, (95)  ",T0113,2,No Pointer,28,"28-NI-58(P,NON),,SIG",Measurements of proton total reaction cross sections for 58Ni and 60Ni including nonrelativistic and relativistic data analyses.,1995,T.Eliyakut-Roshko+,1CANMNA,2000/04/05,"Jour. Nuclear Physics Vol.58, p.509, 1964",T0113002,T0113,"(J,NP,58,509,64)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48103,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,34800000.0,100000.0,1.041,0.025,0.0,0.0,Other,"T.ELIYAKUT-ROSHKO, (95)  ",T0113,2,No Pointer,28,"28-NI-58(P,NON),,SIG",Measurements of proton total reaction cross sections for 58Ni and 60Ni including nonrelativistic and relativistic data analyses.,1995,T.Eliyakut-Roshko+,1CANMNA,2000/04/05,"Jour. Nuclear Physics Vol.58, p.509, 1964",T0113002,T0113,"(J,NP,58,509,64)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48104,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,39700000.0,100000.0,1.003,0.013,0.0,0.0,Other,"T.ELIYAKUT-ROSHKO, (95)  ",T0113,2,No Pointer,28,"28-NI-58(P,NON),,SIG",Measurements of proton total reaction cross sections for 58Ni and 60Ni including nonrelativistic and relativistic data analyses.,1995,T.Eliyakut-Roshko+,1CANMNA,2000/04/05,"Jour. Nuclear Physics Vol.58, p.509, 1964",T0113002,T0113,"(J,NP,58,509,64)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48105,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,45200000.0,100000.0,0.962,0.014,0.0,0.0,Other,"T.ELIYAKUT-ROSHKO, (95)  ",T0113,2,No Pointer,28,"28-NI-58(P,NON),,SIG",Measurements of proton total reaction cross sections for 58Ni and 60Ni including nonrelativistic and relativistic data analyses.,1995,T.Eliyakut-Roshko+,1CANMNA,2000/04/05,"Jour. Nuclear Physics Vol.58, p.509, 1964",T0113002,T0113,"(J,NP,58,509,64)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48106,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,47900000.0,100000.0,0.97,0.01,0.0,0.0,Other,"T.ELIYAKUT-ROSHKO, (95)  ",T0113,2,No Pointer,28,"28-NI-58(P,NON),,SIG",Measurements of proton total reaction cross sections for 58Ni and 60Ni including nonrelativistic and relativistic data analyses.,1995,T.Eliyakut-Roshko+,1CANMNA,2000/04/05,"Jour. Nuclear Physics Vol.58, p.509, 1964",T0113002,T0113,"(J,NP,58,509,64)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48107,proton,All_or_Total,3,All_or_Total,Other,Lab,28500000.0,1500000.0,1.038,0.032,0.0,0.0,Other,"J.F.TURNER,ET.AL. (64)   ",O0150,5,No Pointer,28,"28-NI-58(P,NON),,SIG,,,EXP",OPTICAL MODEL STUDIES OF PROTON SCATTERING AT 30 MEV. PROTON TOTAL REACTION CROSS SECTIONS AT 28.5(1.5) MEV.,1964,J.F.Turner+,2UK HAR,1995/06/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",O0150005,O0150,"(J,PR/C,4,1114,71)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48108,proton,All_or_Total,3,All_or_Total,Other,Lab,30000000.0,543443.5644671941,1.011,0.03,0.0,0.0,Other,"J.J.MENET,ET.AL. (71)    ",O0081,3,No Pointer,28,"28-NI-58(P,NON),,SIG,,,EXP",TOTAL-REACTION-CROSS SECTION MEASUREMENTS FOR 30-60-MEV PROTONS AND THE IMAGINARY OPTICAL POTENTIAL.,1971,J.J.Menet+,1USAORL,1995/02/03,"Jour. Physical Review Letters Vol.22, p.1128, 1969",O0081003,O0081,"(J,PRL,22,1128,1969)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48109,proton,All_or_Total,3,All_or_Total,Other,Lab,40000000.0,724591.4192895922,0.955,0.034,0.0,0.0,Other,"J.J.MENET,ET.AL. (71)    ",O0081,3,No Pointer,28,"28-NI-58(P,NON),,SIG,,,EXP",TOTAL-REACTION-CROSS SECTION MEASUREMENTS FOR 30-60-MEV PROTONS AND THE IMAGINARY OPTICAL POTENTIAL.,1971,J.J.Menet+,1USAORL,1995/02/03,"Jour. Physical Review Letters Vol.22, p.1128, 1969",O0081003,O0081,"(J,PRL,22,1128,1969)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48110,proton,All_or_Total,3,All_or_Total,Other,Lab,49500000.0,896681.8813708704,0.856,0.029,0.0,0.0,Other,"J.J.MENET,ET.AL. (71)    ",O0081,3,No Pointer,28,"28-NI-58(P,NON),,SIG,,,EXP",TOTAL-REACTION-CROSS SECTION MEASUREMENTS FOR 30-60-MEV PROTONS AND THE IMAGINARY OPTICAL POTENTIAL.,1971,J.J.Menet+,1USAORL,1995/02/03,"Jour. Physical Review Letters Vol.22, p.1128, 1969",O0081003,O0081,"(J,PRL,22,1128,1969)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48111,proton,All_or_Total,3,All_or_Total,Other,Lab,60800000.0,1101378.9573201805,0.807,0.025,0.0,0.0,Other,"J.J.MENET,ET.AL. (71)    ",O0081,3,No Pointer,28,"28-NI-58(P,NON),,SIG,,,EXP",TOTAL-REACTION-CROSS SECTION MEASUREMENTS FOR 30-60-MEV PROTONS AND THE IMAGINARY OPTICAL POTENTIAL.,1971,J.J.Menet+,1USAORL,1995/02/03,"Jour. Physical Review Letters Vol.22, p.1128, 1969",O0081003,O0081,"(J,PRL,22,1128,1969)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48112,proton,All_or_Total,3,All_or_Total,Other,Lab,60000000.0,1086887.1289343885,0.75,0.025,0.0,0.0,Other,"J.J.MENET,ET.AL. (69)    ",O0743,5,No Pointer,28,"28-NI-58(P,NON),,SIG",Total Reaction Cross-Section Measurements with 60-MeV Proton.,1969,J.J.Menet+,1USAORL,2000/04/04,"Jour. Nuclear Physics, Section A Vol.653, p.341, 1999",O0743005,O0743,"(J,NP/A,653,341,1999)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48113,proton,All_or_Total,3,All_or_Total,Other,Lab,65500000.0,150000.0,0.9049,0.0235,0.0,0.0,Other,"A.INGEMARSSON,ET.AL. (99)",O0579,7,No Pointer,28,"28-NI-58(P,NON),,SIG",Reaction Cross Sections For 65 MeV Protons on Targets From Be-9 to Pb-208.,1999,A.Ingemarsson+,2SWDUPP,1999/11/03,"Jour. Physical Review, Part C, Nuclear Physics Vol.71, p.064606, 2005",O0579007,O0579,"(J,PR/C,71,064606,2005)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48114,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,81000000.0,150000.0,0.846,0.034,0.0,0.0,Other,"A.Auce,ET.AL. (05)       ",D0356,4,No Pointer,28,"28-NI-58(P,NON),,SIG","Reaction cross sections for protons on 12C, 40Ca, 90Zr, and 208Pb at energies between 80 and 180 MeV",2005,A.Auce+,2SWDUPP,2005/07/02,"Jour. Yadernaya Fizika Vol.31, p.561, 1980",D0356004,D0356,"(J,YF,31,561,1980)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
48115,proton,All_or_Total,4,All_or_Total,Dependent,Lab,22000000.0,200000.0,0.135,0.0135678410400592,0.0,0.0,Other,"N.S.Biryukov,ET.AL. (80) ",A0068,66,1,28,"28-NI-58(P,N)29-CU-58,,SIG,,,DERIV","Direct and equilibrium processes in (p,n) reactions at proton energy of 22.2 MeV",1980,N.S.Biryukov+,4RUSFEI,2020/03/02,"Jour. Radiochemical and Radioanalytical Letters Vol.28, p.9, 1977",A00680661,A0068,"(J,RRL,28,9,1977)",1,1,0,58Ni,Ni,30,58,I,4.838595800784746,0.1653372244629841,Other,-60228.74400000001,0.373,8732.059000000001,0.006,-8561.019,0.443,57935341.78,0.4,22463.84,0.35,14199.6,0.25,-6399.16,0.35,-17930.0,50.0,-7335.88,0.25,-20991.18,0.45,12216.23,0.5,8172.15,0.43,-53148.0,500.0,6522.46,0.39,-1334.81,0.38,2898.96,0.32,-8172.15,-12216.23,-19548.6339,-17324.067900000002,-21148.6749,-17678.6594,-14199.6,-22463.84,-6399.16,-9343.3655,-8172.15,-12216.23,-9991.664,-21773.5265,-13982.0451,-11830.593500000004,-6553.533500000001,-8172.15,-5947.584,-12216.23,-11066.838900000002,-6481.559600000001,-5959.000999999998,-2678.6756,-8579.610999999999,8361.3894,11641.7149
